Title,Netflix Streaming,URL,Director,Country,Year,Parent
Grand Illusion,true,http://www.netflix.com/WiMovie/Grand_Illusion/21929903,Jean Renoir,France,1937,
Seven Samurai,true,http://www.netflix.com/WiMovie/Seven_Samurai/950727,Akira Kurosawa,Japan,1954,
The Lady Vanishes,true,http://www.netflix.com/Movie/The_Lady_Vanishes/682083,Alfred Hitchcock,United Kingdom,1938,
Amarcord,true,http://www.netflix.com/WiMovie/Amarcord/247784,Federico Fellini,Italy,1974,
The 400 Blows,true,http://www.netflix.com/WiMovie/The_400_Blows/70048120,François Truffaut,France,1959,
Beauty and the Beast,true,http://www.netflix.com/WiMovie/Beauty_and_the_Beast/11519928,Jean Cocteau,France,1946,
A Night to Remember,false,http://www.netflix.com/Movie/A_Night_to_Remember/805507,Roy Ward Baker,United Kingdom,1958,
The Killer,false,http://www.netflix.com/Movie/The_Killer/70020140,John Woo,Hong Kong,1989,
Hard Boiled,false,http://www.netflix.com/Movie/Hard_Boiled/70069755,John Woo,Hong Kong,1992,
Walkabout ,true,http://www.netflix.com/Movie/Walkabout/1101378,Nicolas Roeg,Australia,1971,
The Seventh Seal,true,http://www.netflix.com/Movie/The_Seventh_Seal/70127971,Ingmar Bergman,Sweden,1957,
This Is Spinal Tap,false,http://www.netflix.com/Movie/This_Is_Spinal_Tap/1040339,Rob Reiner,United States,1984,
The Silence of the Lambs,false,http://www.netflix.com/Movie/The_Silence_of_the_Lambs/14546747,Jonathan Demme,United States,1991,
Samurai I: Musashi Miyamoto,false,http://www.netflix.com/Movie/Samurai_Trilogy_1_Musashi_Miyamoto/11519960,Hiroshi Inagaki,Japan,1954,
Samurai II: Duel at Ichijoji Temple,false,http://www.netflix.com/Movie/Samurai_Trilogy_2_Duel_at_Ichijoji_Temple/11520079,Hiroshi Inagaki,Japan,1955,
Samurai III: Duel at Ganryu Island,false,http://www.netflix.com/Movie/Samurai_Trilogy_3_Duel_at_Ganryu_Island/11520106,Hiroshi Inagaki,Japan,1956,
The Naked Kiss,false,http://www.netflix.com/Movie/The_Naked_Kiss/791040,Samuel Fuller,United States,1964,
Shock Corridor,false,http://www.netflix.com/Movie/Shock_Corridor/959673,Samuel Fuller,United States,1963,
Sid & Nancy,false,http://www.netflix.com/Movie/Sid_Nancy/962762,Alex Cox,United Kingdom,1986,
Dead Ringers,false,http://www.netflix.com/Movie/Dead_Ringers/70027574,David Cronenberg,United States,1988,
Summertime,true,http://www.netflix.com/Movie/Summertime/1012340,David Lean,United States,1955,
RoboCop,false,http://www.netflix.com/Movie/RoboCop/17017738,Paul Verhoeven,United States,1987,
High and Low,true,http://www.netflix.com/Movie/High_and_Low/588717,Akira Kurosawa,Japan,1963,
Alphaville,false,http://www.netflix.com/Movie/Alphaville/246062,Jean-Luc Godard,France,1965,
